,OPEN,CLOSE,VOLUME,ADJFACTOR,DIV_CAPITALIZATION,DIV_STOCK
20170103,30.0,29.98,2361048.0,7.446103,,
20170104,30.26,31.09,4623138.0,7.446103,,
20170105,30.8,30.87,1583885.0,7.446103,,
20170106,30.87,31.31,3176593.0,7.446103,,
20170109,31.12,31.13,1942843.0,7.446103,,
20170110,31.24,30.72,1382082.0,7.446103,,
20170111,30.81,30.4,2310604.0,7.446103,,
20170112,30.18,29.97,2008907.0,7.446103,,
20170113,29.95,29.74,2709265.0,7.446103,,
20170116,29.61,29.62,3174276.0,7.446103,,
20170117,29.59,29.76,1551984.0,7.446103,,
20170118,29.73,29.52,1222038.0,7.446103,,
20170119,29.51,29.76,1474882.0,7.446103,,
20170120,29.66,29.98,1708309.0,7.446103,,
20170123,29.98,30.35,1657486.0,7.446103,,
20170124,30.43,30.47,1485619.0,7.446103,,
20170125,30.46,30.6,939739.0,7.446103,,
20170126,30.55,30.64,1188338.0,7.446103,,
20170203,30.67,31.19,2924792.0,7.446103,,
20170206,31.19,31.1,3309374.0,7.446103,,
20170207,30.99,30.55,1848434.0,7.446103,,
20170208,30.52,30.85,1323147.0,7.446103,,
20170209,30.9,30.71,1243996.0,7.446103,,
20170210,30.64,30.54,1922257.0,7.446103,,
20170213,30.61,30.5,2670373.0,7.446103,,
20170214,30.54,30.2,3294457.0,7.446103,,
20170215,30.18,30.14,1991970.0,7.446103,,
20170216,30.21,30.21,1784779.0,7.446103,,
20170217,30.21,31.09,5917506.0,7.446103,,
20170220,30.99,31.18,4318365.0,7.446103,,
20170221,31.18,31.23,2529141.0,7.446103,,
20170222,31.15,31.17,2119997.0,7.446103,,
20170223,31.14,31.68,3051747.0,7.446103,,
20170224,31.41,31.37,1835143.9999999998,7.446103,,
20170227,31.45,31.4,2570950.0,7.446103,,
20170228,31.39,31.75,1575491.0,7.446103,,
20170301,31.7,31.48,1774412.0,7.446103,,
20170302,31.52,31.03,1634110.0,7.446103,,
20170303,30.88,30.06,9216707.0,7.446103,,
20170306,30.0,30.36,4546184.0,7.446103,,
20170307,30.42,30.46,2059032.0,7.446103,,
20170308,30.44,30.3,2050871.0,7.446103,,
20170309,30.13,30.22,1305471.0,7.446103,,
20170310,30.4,30.16,1488314.0,7.446103,,
20170313,30.17,30.37,2426319.0,7.446103,,
20170314,30.23,30.89,4681344.0,7.446103,,
20170315,30.73,30.65,2867487.0,7.446103,,
20170316,30.56,30.64,2187710.0,7.446103,,
20170317,30.64,30.36,2103480.0,7.446103,,
20170320,30.33,30.25,1166957.0,7.446103,,
20170321,30.28,30.11,2635619.0,7.446103,,
20170322,30.0,30.76,2453861.0,7.446103,,
20170323,30.66,30.65,2151145.0,7.446103,,
20170324,30.6,30.9,2264418.0,7.446103,,
20170327,30.95,30.69,3096365.0,7.446103,,
20170328,30.64,30.65,2315091.0,7.446103,,
20170329,30.77,30.52,1964302.0,7.446103,,
20170330,30.52,30.1,2697941.0,7.446103,,
20170331,30.1,30.23,1789386.0,7.446103,,
20170405,30.23,30.41,2575205.0,7.446103,,
20170406,30.8,31.69,11372407.0,7.446103,,
20170407,31.64,31.82,5850324.0,7.446103,,
20170410,31.82,31.82,0.0,7.446103,,
20170411,31.82,31.82,0.0,7.446103,,
20170412,32.56,31.63,6218189.0,7.446103,,
20170413,31.58,31.6,2754627.0,7.446103,,
20170414,31.6,31.32,1904941.0,7.446103,,
20170417,31.41,31.4,2837140.0,7.446103,,
20170418,31.38,31.79,4015836.0,7.446103,,
20170419,31.67,31.66,2639402.0,7.446103,,
20170420,31.76,31.97,5185140.0,7.446103,,
20170421,32.1,31.8,4929893.0,7.446103,,
20170424,31.86,32.33,6165765.0,7.446103,,
20170425,32.38,31.97,3375590.0,7.446103,,
20170426,31.97,32.56,5817011.0,7.446103,,
20170427,32.41,32.81,4853323.0,7.446103,,
20170428,32.62,32.87,3977555.0000000005,7.446103,,
20170502,32.74,32.28,3223221.0,7.446103,,
20170503,32.24,31.88,3386001.0,7.446103,,
20170504,31.86,31.37,4242492.0,7.446103,,
20170505,31.12,31.61,2699837.0,7.446103,,
20170508,31.65,31.78,3018573.0,7.446103,,
20170509,31.77,31.72,2562994.0,7.446103,,
20170510,31.62,31.74,1972299.0000000002,7.446103,,
20170511,31.59,32.13,4441544.0,7.446103,,
20170512,32.2,32.56,4366654.0,7.446103,,
20170515,32.4,32.88,3314183.9999999995,7.446103,,
20170516,32.8,33.8,4746779.0,7.446103,,
20170517,33.57,33.31,3732430.0000000005,7.446103,,
20170518,22.06,22.23,5758990.0,11.228144,,
20170519,22.27,22.4,6449048.0,11.228144,,
20170522,22.46,22.57,4798200.0,11.228144,,
20170523,22.39,22.74,8114391.0,11.228144,,
20170524,22.78,22.62,4797140.0,11.228144,,
20170525,22.58,22.35,4794048.0,11.228144,,
20170526,22.34,22.46,5090972.0,11.228144,,
20170531,22.42,22.37,10014111.0,11.228144,,
20170601,22.1,22.14,5127806.0,11.228144,,
20170602,22.06,21.2,9204665.0,11.228144,,
20170605,21.05,21.31,8765568.0,11.228144,,
20170606,21.2,21.35,4338389.0,11.228144,,
20170607,21.28,22.06,8740022.0,11.228144,,
20170608,21.91,22.06,4609472.0,11.228144,,
20170609,22.06,21.73,6529023.0,11.228144,,
20170612,21.63,21.82,3850841.0000000005,11.228144,,
20170613,21.7,21.75,3033214.0,11.228144,,
20170614,21.72,22.21,5418008.0,11.228144,,
20170615,22.21,22.7,10181524.0,11.228144,,
20170616,22.73,22.92,5003573.0,11.228144,,
20170619,22.88,22.7,3933355.0000000005,11.228144,,
20170620,22.7,22.49,3930954.0,11.228144,,
20170621,22.49,22.8,3818044.9999999995,11.228144,,
20170622,22.76,22.53,3361210.0,11.228144,,
20170623,22.41,22.7,4770617.0,11.228144,,
20170626,22.72,22.72,6012818.0,11.228144,,
20170627,22.72,23.35,7480805.0,11.228144,,
20170628,23.26,23.17,6776738.0,11.228144,,
20170629,23.06,23.13,4231622.0,11.228144,,
20170630,23.13,23.26,4809629.0,11.228144,,
20170703,23.26,23.04,4371639.0,11.228144,,
20170704,22.89,22.7,4495940.0,11.228144,,
20170705,22.67,22.95,3291885.0,11.228144,,
20170706,23.01,22.76,2702227.0,11.228144,,
20170707,22.69,22.6,2389679.0,11.228144,,
20170710,22.51,22.19,4303635.0,11.228144,,
20170711,22.08,22.29,3909461.0,11.228144,,
20170712,22.27,22.15,4927384.0,11.228144,,
20170713,22.15,22.07,3641690.0,11.228144,,
20170714,22.23,22.4,4569388.0,11.228144,,
20170717,22.31,21.58,6672769.0,11.228144,,
20170718,21.57,21.93,4644723.0,11.228144,,
20170719,21.92,22.25,3300997.0,11.228144,,
20170720,22.25,22.35,2904839.0,11.228144,,
20170721,22.37,22.7,5105404.0,11.228144,,
20170724,22.67,22.49,2788807.0,11.228144,,
20170725,22.49,22.2,2673566.0,11.228144,,
20170726,22.22,22.1,2923504.0,11.228144,,
20170727,22.11,22.57,4601882.0,11.228144,,
20170728,22.59,22.5,2927432.0,11.228144,,
